s#	c#	grade
L201300002	AE-77	97.5
2205114653	Phys-09	84.3
2205114711	AE-77	97.8
2206525215	Econ-61	77.8
2203312555	IE-67	86.5
2203712774	Bio-57	9.4
2204214978	Bio-08	74.5
2206412674	Math-27	48.9
2203722752	CE-74	91.6
2204224988	IE-67	69.1
2206113855	Math-19	81.9
2206113606	AE-96	89.3
2204214973	Math-27	70.9
2206123705	ME-86	85.8
2204313355	CS-53	61.2
2206113828	Phys-26	16.5
2204112306	Math-27	84.5
2184124615	ME-73	83.3
2203712706	Bio-60	64.3
2206113771	IE-57	60.9
2206113990	AE-77	29.4
2203211465	Stat-28	89.1
2206113919	IE-67	81.2
2206113919	Chem-90	22.2
2206123715	Chem-16	56.5
2206113693	Chem-90	74.5
2203312538	ME-86	61.0
2201222237	Math-54	60.9
2206123985	IE-93	76.6
2204112353	IE-76	72.5
2203312587	Bio-99	33.8
2204112377	CE-20	93.5
2202113426	Chem-90	64.3
2201121580	Econ-59	76.1
2204112349	Bio-99	16.6
2204224991	Chem-35	64.2
2201313142	Bio-58	77.9
2201222237	EE-94	91.4
2206123887	Econ-31	60.8
2203422939	CS-36	71.4
2206213283	Math-19	58.3
2203513500	Econ-76	84.7
2205123246	CS-53	82.5
2206113926	ME-88	76.4
2205312829	Bio-35	75.6
2203322493	Chem-35	68.2
2203613044	IE-65	95.5
2206123983	EE-09	97.2
2194214378	Econ-31	83.7
2206210735	Bio-25	63.4
2202224793	AE-91	18.1
2201313129	ME-88	86.3
2204511804	Stat-33	66.4
2204411661	Chem-90	78.9
2206515224	Econ-66	97.2
2203513495	Bio-44	63.0
2203613011	Econ-81	24.8
2203312478	CS-01	96.5
2201412042	Econ-81	61.7
2204323361	Bio-58	83.8
2204411687	Econ-76	80.1
2203312551	ChE-62	98.3
2206113771	Econ-59	96.5
2203722773	ME-88	81.8
2204313374	CS-36	96.1
2206113790	Chem-34	82.7
2206113913	AE-38	69.3
2204214961	Stat-47	89.2
2202224791	ME-88	78.3
2205012203	Chem-00	33.9
2206113963	ME-73	62.1
2206123679	Econ-67	63.4
2201412053	CS-53	91.3
2204511817	ME-88	65.1
2202311939	Bio-58	75.8
2206113619	Bio-24	97.5
2206113929	Bio-99	99.7
2205114671	Chem-45	1.6
2203211474	CS-05	18.1
2206113749	Ling-89	95.7
2206113569	Math-90	82.8
2203322593	Bio-44	15.0
2201412074	CE-97	24.0
2184124615	Bio-35	99.1
2204511817	IE-76	66.3
2206422633	CS-05	89.7
2202224779	ME-91	98.1
2206515220	Bio-58	41.7
2206123862	CS-53	47.6
2205124672	CS-36	61.7
2203312571	ME-86	99.7
2206123972	Ling-35	95.5
2204421685	Stat-33	90.0
2201111586	Phys-41	86.6
2206322125	Ling-89	60.1
2202113448	ME-86	95.7
2203312561	Math-11	64.9
2204313329	Chem-16	70.2
2202113429	CE-32	64.5
2204222855	Bio-57	44.5
2206515220	Math-90	5.6
2204411645	Phys-46	81.5
2201313134	Phys-46	68.6
2203712732	AE-18	78.5
2203211400	Bio-24	63.4
2203312556	Stat-33	84.6
2206123980	Phys-31	82.2
2203411282	Stat-33	81.0
2201323126	Ling-43	22.0
2206412636	CE-97	34.1
2206113984	Econ-31	82.9
2204215026	Phys-26	91.8
2203613038	Chem-77	67.8
2206113595	EE-09	72.1
2201412056	IE-93	23.5
2195123233	ChE-62	77.7
2201323125	BE-70	73.7
2203712691	AE-98	90.5
2205022173	Ling-27	24.8
2206515210	Bio-44	83.4
2203312574	Bio-24	65.7
2201412051	AE-98	34.3
2203613031	Stat-47	82.6
2204224991	ME-19	62.4
2203612979	Phys-26	82.9
2203712710	ChE-86	60.0
2204411666	ME-73	86.7
2201313096	ME-88	71.8
2206213281	AE-73	52.2
2203513476	Ling-92	71.5
2203613041	Math-11	88.7
2206113590	Chem-16	60.1
2204313368	CE-23	70.3
2204411645	ChE-46	77.3
2205114689	Chem-27	70.0
2202122669	CS-05	76.2
2204313315	IE-57	80.3
2196214618	Stat-29	86.1
2206113678	Econ-31	85.8
2203412953	Chem-27	78.0
2203224798	ChE-62	11.2
2201412031	Chem-90	20.5
2206113896	Phys-07	95.4
2204122312	Chem-16	93.8
2203712779	Chem-35	80.0
2206123679	IE-65	88.0
2206113806	ME-19	60.1
2205114711	Ling-27	69.4
2203211139	Chem-27	85.0
2206312126	Chem-77	77.4
2201412054	Math-19	89.8
2203312578	Econ-05	91.9
2206113998	Phys-09	69.0
2206525215	Econ-35	86.0
2206113757	Ling-27	70.2
2203612997	CE-23	72.0
